nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: worker process 22 exited with code 0
nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: worker process 36 exited with code 0
nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: worker process 41 exited with code 0
nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: worker process 45 exited with code 0
nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: signal 29 (SIGIO) received
nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: signal 17 (SIGCHLD) received from 35
nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: worker process 35 exited with code 0
nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: worker process 39 exited with code 0
nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: signal 29 (SIGIO) received
nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: signal 17 (SIGCHLD) received from 39
nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: worker process 38 exited with code 0
nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: signal 29 (SIGIO) received
nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: signal 17 (SIGCHLD) received from 38
nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: signal 17 (SIGCHLD) received from 40
nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: worker process 40 exited with code 0
nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: signal 29 (SIGIO) received
nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: signal 17 (SIGCHLD) received from 29
nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: worker process 24 exited with code 0
nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: worker process 28 exited with code 0
nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: worker process 29 exited with code 0
nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: signal 29 (SIGIO) received
nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: signal 17 (SIGCHLD) received from 28
nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: signal 17 (SIGCHLD) received from 31
nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: worker process 26 exited with code 0
nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: worker process 27 exited with code 0
nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: worker process 31 exited with code 0
nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: worker process 32 exited with code 0
nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: worker process 47 exited with code 0
nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: signal 29 (SIGIO) received
nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: signal 17 (SIGCHLD) received from 23
nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: worker process 23 exited with code 0
nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: worker process 34 exited with code 0
nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: signal 29 (SIGIO) received
nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: signal 17 (SIGCHLD) received from 37
nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: worker process 37 exited with code 0
nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: exit
nginx-1  | /docker-entrypoint.sh: /docker-entrypoint.d/ is not empty, will attempt to perform configuration
nginx-1  | /docker-entrypoint.sh: Looking for shell scripts in /docker-entrypoint.d/
nginx-1  | /docker-entrypoint.sh: Launching /docker-entrypoint.d/10-listen-on-ipv6-by-default.sh
nginx-1  | 10-listen-on-ipv6-by-default.sh: info: can not modify /etc/nginx/conf.d/default.conf (read-only file system?)
nginx-1  | /docker-entrypoint.sh: Sourcing /docker-entrypoint.d/15-local-resolvers.envsh
nginx-1  | /docker-entrypoint.sh: Launching /docker-entrypoint.d/20-envsubst-on-templates.sh
nginx-1  | /docker-entrypoint.sh: Launching /docker-entrypoint.d/30-tune-worker-processes.sh
nginx-1  | /docker-entrypoint.sh: Configuration complete; ready for start up
nginx-1  | 2025/10/01 09:10:28 [warn] 1#1: conflicting server name "_" on 0.0.0.0:80, ignored
nginx-1  | nginx: [warn] conflicting server name "_" on 0.0.0.0:80, ignored
nginx-1  | 2025/10/01 09:10:28 [warn] 1#1: conflicting server name "_" on 0.0.0.0:80, ignored
nginx-1  | nginx: [warn] conflicting server name "_" on 0.0.0.0:80, ignored
nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: using the "epoll" event method
nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: nginx/1.27.5
nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: built by gcc 14.2.0 (Alpine 14.2.0) 
nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: OS: Linux 6.6.87.2-microsoft-standard-WSL2
nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: getrlimit(RLIMIT_NOFILE): 1048576:1048576
nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: start worker processes
nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: start worker process 21
nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: start worker process 22
nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: start worker process 23
nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: start worker process 24
nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: start worker process 25
nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: start worker process 26
nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: start worker process 27
nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: start worker process 28
nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: start worker process 29
nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: start worker process 30
nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: start worker process 31
nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: start worker process 32
nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: start worker process 33
nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: start worker process 34
nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: start worker process 35
nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: start worker process 36
nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: start worker process 37
nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: start worker process 38
nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: start worker process 39
nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: start worker process 40
nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: start worker process 41
nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: start worker process 42
nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: start worker process 43
nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: start worker process 44
nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: start worker process 45
nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: start worker process 46
nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: start worker process 47
nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: start worker process 48
