php-1  | [01-Oct-2025 08:45:06] NOTICE: fpm is running, pid 1
php-1  | [01-Oct-2025 08:45:06] NOTICE: ready to handle connections
php-1  | 172.18.0.4 -  01/Oct/2025:08:45:17 +0000 "GET /admin/login.php" 200
php-1  | 172.18.0.4 -  01/Oct/2025:08:45:27 +0000 "POST /admin/auth.php" 302
php-1  | 172.18.0.4 -  01/Oct/2025:08:45:27 +0000 "GET /admin/login.php" 200
php-1  | 172.18.0.4 -  01/Oct/2025:08:45:35 +0000 "POST /admin/auth.php" 302
php-1  | 172.18.0.4 -  01/Oct/2025:08:45:35 +0000 "GET /admin/login.php" 200
php-1  | 172.18.0.4 -  01/Oct/2025:08:45:46 +0000 "POST /admin/auth.php" 302
php-1  | 172.18.0.4 -  01/Oct/2025:08:45:46 +0000 "GET /admin/login.php" 200
php-1  | 172.18.0.4 -  01/Oct/2025:08:46:01 +0000 "POST /admin/auth.php" 302
php-1  | 172.18.0.4 -  01/Oct/2025:08:46:01 +0000 "GET /admin/login.php" 200
php-1  | 172.18.0.4 -  01/Oct/2025:08:46:19 +0000 "POST /admin/auth.php" 302
php-1  | 172.18.0.4 -  01/Oct/2025:08:46:20 +0000 "GET /admin/login.php" 200
php-1  | 172.18.0.4 -  01/Oct/2025:08:46:23 +0000 "GET /admin/logout.php" 302
php-1  | 172.18.0.4 -  01/Oct/2025:08:46:23 +0000 "GET /admin/login.php" 200
php-1  | 172.18.0.4 -  01/Oct/2025:08:46:32 +0000 "POST /admin/auth.php" 302
php-1  | 172.18.0.4 -  01/Oct/2025:08:46:32 +0000 "GET /admin/login.php" 200
php-1  | 172.18.0.4 -  01/Oct/2025:08:47:01 +0000 "GET /admin/login.php" 200
php-1  | 172.18.0.4 -  01/Oct/2025:08:47:05 +0000 "GET /admin/admin_users.php" 302
php-1  | 172.18.0.4 -  01/Oct/2025:08:47:05 +0000 "GET /admin/login.php" 200
php-1  | 172.18.0.4 -  01/Oct/2025:08:47:07 +0000 "GET /admin/admin_users.php" 302
php-1  | 172.18.0.4 -  01/Oct/2025:08:47:07 +0000 "GET /admin/login.php" 200
php-1  | 172.18.0.4 -  01/Oct/2025:08:47:12 +0000 "GET /admin/dashboard.php" 302
php-1  | 172.18.0.4 -  01/Oct/2025:08:47:12 +0000 "GET /admin/login.php" 200
php-1  | 172.18.0.4 -  01/Oct/2025:08:47:16 +0000 "GET /admin/db_browser.php" 302
php-1  | 172.18.0.4 -  01/Oct/2025:08:47:16 +0000 "GET /admin/login.php" 200
php-1  | 172.18.0.4 -  01/Oct/2025:08:47:20 +0000 "GET /admin/series.php" 302
php-1  | 172.18.0.4 -  01/Oct/2025:08:47:20 +0000 "GET /admin/login.php" 200
php-1  | 172.18.0.4 -  01/Oct/2025:08:47:38 +0000 "POST /admin/auth.php" 302
php-1  | 172.18.0.4 -  01/Oct/2025:08:47:38 +0000 "GET /admin/login.php" 200
php-1  | 172.18.0.4 -  01/Oct/2025:08:49:30 +0000 "GET /admin/login.php" 200
php-1  | 172.18.0.4 -  01/Oct/2025:08:49:30 +0000 "GET /admin/login.php" 200
php-1  | 172.18.0.4 -  01/Oct/2025:08:49:30 +0000 "POST /admin/auth.php" 302
php-1  | 172.18.0.4 -  01/Oct/2025:08:49:30 +0000 "GET /admin/series.php" 302
php-1  | 172.18.0.4 -  01/Oct/2025:08:49:59 +0000 "GET /admin/login.php" 200
php-1  | 172.18.0.4 -  01/Oct/2025:08:49:59 +0000 "GET /admin/login.php" 200
php-1  | 172.18.0.4 -  01/Oct/2025:08:49:59 +0000 "POST /admin/auth.php" 302
php-1  | 172.18.0.4 -  01/Oct/2025:08:49:59 +0000 "GET /admin/series.php" 302
php-1  | 172.18.0.4 -  01/Oct/2025:08:50:11 +0000 "GET /admin/_session_diag.php" 200
php-1  | 172.18.0.4 -  01/Oct/2025:08:50:11 +0000 "GET /admin/_session_diag.php" 200
php-1  | [01-Oct-2025 08:50:18] NOTICE: Finishing ...
php-1  | [01-Oct-2025 08:50:18] NOTICE: exiting, bye-bye!
php-1  | [01-Oct-2025 08:50:19] NOTICE: fpm is running, pid 1
php-1  | [01-Oct-2025 08:50:19] NOTICE: ready to handle connections
php-1  | 172.18.0.4 -  01/Oct/2025:08:50:32 +0000 "GET /admin/_session_diag.php" 200
